,Time,TweetUrl,Content,English,Covid tweets,Sub-category,UserID,UserName,RetweetNum,LikeNum,UserHandle,UserUrl,Location,UserID_PostID,,
1246124244347600901,Fri Apr 03 17:15:46 +0000 2020,https://twitter.com/@RTErdogan/status/1246124244347600901,Basın Açıklaması https://t.co/gWvBLs3DWE,,,,68034431,Recep Tayyip Erdoğan,9742,45387,@RTErdogan,https://twitter.com/@RTErdogan,"Ankara, Turkey","@RTErdogan,1246124244347600901",,~
1246124244347600901,Fri Apr 03 17:15:46 +0000 2020,https://twitter.com/@RTErdogan/status/1246124244347600901,Basın Açıklaması https://t.co/gWvBLs3DWE,,,,68034431,Recep Tayyip Erdoğan,9742,45384,@RTErdogan,https://twitter.com/@RTErdogan,"Ankara, Turkey","@RTErdogan,1246124244347600901",,~
1246156605558841344,Fri Apr 03 19:24:21 +0000 2020,https://twitter.com/@RTErdogan/status/1246156605558841344,"Ülkemizde hayatı normale döndürmek 83 milyon olarak bizim elimizde. KOVİD-19'a karşı mücadele çerçevesinde attığımız adımlara yenilerini ekliyoruz.
  
  Birliğimize, beraberliğimize sahip çıkıp tehdit tam olarak ortadan kalkıncaya kadar kurallara harfiyen uymalıyız. https://t.co/nSOZMO3doB",,,,68034431,Recep Tayyip Erdoğan,12426,47321,@RTErdogan,https://twitter.com/@RTErdogan,"Ankara, Turkey","@RTErdogan,1246156605558841344",,~
1246177310421721090,Fri Apr 03 20:46:38 +0000 2020,https://twitter.com/@RTErdogan/status/1246177310421721090,"Babam Prof.Dr. Cemil Tascioglu’na hakettigi degeri verdiginiz , adini sonsuza kadar yasattiginiz , üzüntümüzü bir nebze de olsa azalttiginiz , bizi gururlandirdiginiz icin tesekkur ederim. @RTErdogan @drfahrettinkoca",,,,1098362312480772096,Recep Tayyip Erdoğan,9947,130205,@RTErdogan,https://twitter.com/@RTErdogan,"İstanbul, Türkiye","@RTErdogan,1246177310421721090",,~
1246177310421721090,Fri Apr 03 20:46:38 +0000 2020,https://twitter.com/@RTErdogan/status/1246177310421721090,"Babam Prof.Dr. Cemil Tascioglu’na hakettigi degeri verdiginiz , adini sonsuza kadar yasattiginiz , üzüntümüzü bir nebze de olsa azalttiginiz , bizi gururlandirdiginiz icin tesekkur ederim. @RTErdogan @drfahrettinkoca",,,,1098362312480772096,Recep Tayyip Erdoğan,9947,130195,@RTErdogan,https://twitter.com/@RTErdogan,"İstanbul, Türkiye","@RTErdogan,1246177310421721090",,~
1246190114918850568,Fri Apr 03 21:37:31 +0000 2020,https://twitter.com/@RTErdogan/status/1246190114918850568,"Sevgili Onur... 
  
  Kıymetli babanız Prof. Dr. Cemil Taşçıoğlu hocamız bugün gurur duyduğumuz, inşallah gelecekte de gurur duyacağımız tüm hekimlerimize, tüm sağlık çalışanlarımıza ilham kaynağı olacak. Hatırası hep yaşayacak. Mekanı cennet olsun...",,,,68034431,Recep Tayyip Erdoğan,11317,74011,@RTErdogan,https://twitter.com/@RTErdogan,"Ankara, Turkey","@RTErdogan,1246190114918850568",,~
1246346768574377984,Sat Apr 04 08:00:00 +0000 2020,https://twitter.com/@RTErdogan/status/1246346768574377984,"Milliyetçi Hareket Partisi Kurucu Genel Başkanı merhum Alparslan Türkeş'i, vefatının 23. yılında rahmetle ve saygıyla yâd ediyorum. https://t.co/bEU6zwqboa",,,,68034431,Recep Tayyip Erdoğan,10727,67672,@RTErdogan,https://twitter.com/@RTErdogan,"Ankara, Turkey","@RTErdogan,1246346768574377984",,~
1247191821102579714,Mon Apr 06 15:57:56 +0000 2020,https://twitter.com/@RTErdogan/status/1247191821102579714,Kabine Toplantısı Sonrası Millete Sesleniş https://t.co/g6kzRgTaDy,,,,68034431,Recep Tayyip Erdoğan,9827,45741,@RTErdogan,https://twitter.com/@RTErdogan,"Ankara, Turkey","@RTErdogan,1247191821102579714",,~
1247191821102579714,Mon Apr 06 15:57:56 +0000 2020,https://twitter.com/@RTErdogan/status/1247191821102579714,Kabine Toplantısı Sonrası Millete Sesleniş https://t.co/g6kzRgTaDy,,,,68034431,Recep Tayyip Erdoğan,9826,45741,@RTErdogan,https://twitter.com/@RTErdogan,"Ankara, Turkey","@RTErdogan,1247191821102579714",,~
1247238484047343616,Mon Apr 06 19:03:21 +0000 2020,https://twitter.com/@RTErdogan/status/1247238484047343616,"Vatandaşlarımızın her birinin temel hizmetlere ve ihtiyaç malzemelerine ulaşma konusunda sıkıntıya düşmemesi için ne gerekiyorsa yapıyoruz. 
  
  Karamsarlığa ve rehavete kapılmadan her türlü ihtimali göz önünde bulundurarak tedbirlerimizi adım adım alıyor, hayata geçiriyoruz. https://t.co/X7X3Flsa92",,,,68034431,Recep Tayyip Erdoğan,12796,50983,@RTErdogan,https://twitter.com/@RTErdogan,"Ankara, Turkey","@RTErdogan,1247238484047343616",,~
