PostID,Time,TweetUrl,Content,English,Covid tweets,Sub-category,UserID,UserName,RetweetNum,LikeNum,UserHandle,UserUrl,Location,UserID_PostID,,
1299348145806032900,Fri Aug 28 14:08:33 +0000 2020,https://twitter.com/@IndianDiplomacy/status/1299348145806032900,"Special Evacuation Indigo Flight 
  6E 8681 coming from Hanoi, departed Vientiane for New Delhi today with 50 Indians from Lao PDR including 04 women and one child.
  Ambassador Dinkar Asthana interacted with members of Indian Community flying to India and wished them safe journey. https://t.co/vAlrDfStRx",,,,4919261174,Indian Diplomacy,5,45,@IndianDiplomacy,https://twitter.com/@IndianDiplomacy,Lao PDR,"@IndianDiplomacy,1299348145806032900",,~
1299503354519855104,Sat Aug 29 00:25:17 +0000 2020,https://twitter.com/@IndianDiplomacy/status/1299503354519855104,"Bon voyage! Under #VandeBharatMission, today 48 Indians travelled back to India. This was possible due to coordinated efforts between community, Embassy team and @airindiain. We are thankful to Air India for its continued support and cooperation. Jai Hind!
  @MEAIndia
  @MaCA_GoI https://t.co/7vzMLvNKyM",,,,4894933196,Indian Diplomacy,19,150,@IndianDiplomacy,https://twitter.com/@IndianDiplomacy,"101, Dokseodang-ro, Seoul, ROK","@IndianDiplomacy,1299503354519855104",,~
1299517761341718530,Sat Aug 29 01:22:32 +0000 2020,https://twitter.com/@IndianDiplomacy/status/1299517761341718530,14th India-Singapore Defence Policy Dialogue via video conferencing on Aug 28. Two sides signed Implementation Agreement on Humanitarian Assistance and Disaster Relief (HADR) paving greater cooperation in this area. @MEAIndia @SpokespersonMoD @drajaykumar_ias https://t.co/FTDsGRFpFd,,,,877337100,Indian Diplomacy,11,62,@IndianDiplomacy,https://twitter.com/@IndianDiplomacy,Singapore,"@IndianDiplomacy,1299517761341718530",,~
1299559899702075393,Sat Aug 29 04:09:59 +0000 2020,https://twitter.com/@IndianDiplomacy/status/1299559899702075393,"RT @IndiainROK: Bon voyage! Under #VandeBharatMission, today 48 Indians travelled back to India. This was possible due to coordinated effor…",,,,164213375,Indian Diplomacy,19,0,@IndianDiplomacy,https://twitter.com/@IndianDiplomacy,"New Delhi, India","@IndianDiplomacy,1299559899702075393",,~
1299560074931630080,Sat Aug 29 04:10:41 +0000 2020,https://twitter.com/@IndianDiplomacy/status/1299560074931630080,RT @IndiainSingapor: 14th India-Singapore Defence Policy Dialogue via video conferencing on Aug 28. Two sides signed Implementation Agreeme…,,,,164213375,Indian Diplomacy,11,0,@IndianDiplomacy,https://twitter.com/@IndianDiplomacy,"New Delhi, India","@IndianDiplomacy,1299560074931630080",,~
1299561086979457024,Sat Aug 29 04:14:42 +0000 2020,https://twitter.com/@IndianDiplomacy/status/1299561086979457024,"Today, on #NationalSportsDay, we pay tributes to Major Dhyan Chand, whose magic with the hockey stick can never be forgotten. 
  
  This is also a day to laud the outstanding support given by the families, coaches and support staff towards the success of our talented athletes.",,,,18839785,Indian Diplomacy,3009,19514,@IndianDiplomacy,https://twitter.com/@IndianDiplomacy,India,"@IndianDiplomacy,1299561086979457024",,~
1299564837845061633,Sat Aug 29 04:29:36 +0000 2020,https://twitter.com/@IndianDiplomacy/status/1299564837845061633,"Ambassador visited the camp run by M/s Bouygues and M/s Pamposh Ltd in Ashgabat and interacted with Indian workers. Discussed issues reg. welfare of workers with company mgmt n assured workers of help in case of need.
  
  @MEAIndia @PMOIndia @DrSJaishankar @SecretaryCPVOIA https://t.co/iu0Yg0kYoq",,,,1267105709214314496,Indian Diplomacy,2,47,@IndianDiplomacy,https://twitter.com/@IndianDiplomacy,,"@IndianDiplomacy,1299564837845061633",,~
1299627442454233089,Sat Aug 29 08:38:22 +0000 2020,https://twitter.com/@IndianDiplomacy/status/1299627442454233089,RT @IndiainTurkmen1: Ambassador visited the camp run by M/s Bouygues and M/s Pamposh Ltd in Ashgabat and interacted with Indian workers. Di…,,,,164213375,Indian Diplomacy,2,0,@IndianDiplomacy,https://twitter.com/@IndianDiplomacy,"New Delhi, India","@IndianDiplomacy,1299627442454233089",,~
1299631000184483840,Sat Aug 29 08:52:31 +0000 2020,https://twitter.com/@IndianDiplomacy/status/1299631000184483840,RT @IndiainSlovenia: The newly appointed Ambassador Extraordinary and Plenipotentiary of the Republic of India Ms. Namrata Satdeve Kumar pr…,,,,164213375,Indian Diplomacy,7,0,@IndianDiplomacy,https://twitter.com/@IndianDiplomacy,"New Delhi, India","@IndianDiplomacy,1299631000184483840",,~
1299633418028810240,Sat Aug 29 09:02:07 +0000 2020,https://twitter.com/@IndianDiplomacy/status/1299633418028810240,"RT @IndianEmbLaos: Special Evacuation Indigo Flight 
  6E 8681 coming from Hanoi, departed Vientiane for New Delhi today with 50 Indians fro…",,,,164213375,Indian Diplomacy,5,0,@IndianDiplomacy,https://twitter.com/@IndianDiplomacy,"New Delhi, India","@IndianDiplomacy,1299633418028810240",,~
